year,month,airline_name,total_arrival_flights,cancelled_arrivals,diverted_arrivals,delayed_arrivals_15_plus,total_arrival_delay_minutes,airline_delay_minutes,weather_delay_minutes,nas_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes
2025,1,Alaska Airlines,225,0,0,30,1203,513,0,440,0,250
2025,1,American Airlines,1195,9,6,180,14175,3789,543,2914,28,6901
2025,1,Delta Air Lines,2386,27,7,432,39187,18324,3672,5970,0,11221
2025,1,Endeavor Air,1273,29,0,262,24190,6559,2350,4379,0,10902
2025,1,Frontier Airlines,186,4,0,35,2539,1510,0,339,0,690
2025,1,Hawaiian Airlines,31,0,0,13,805,609,123,34,0,39
2025,1,JetBlue Airways,2578,43,2,481,34108,10729,678,5992,18,16691
2025,1,Republic Airline,1592,61,2,242,15937,5848,1320,4421,88,4260
2025,1,SkyWest Airlines,132,4,0,31,1431,805,301,325,0,0
2025,2,Alaska Airlines,219,4,1,42,2081,575,333,907,21,245
2025,2,American Airlines,1090,23,5,206,17523,5854,55,3997,24,7593
2025,2,Delta Air Lines,2152,10,3,418,34399,12248,2812,8487,0,10852
2025,2,Endeavor Air,1246,48,1,273,20840,3353,945,8372,55,8115
2025,2,Frontier Airlines,168,2,0,27,1639,799,47,139,0,654
2025,2,Hawaiian Airlines,28,0,0,5,199,159,0,40,0,0
2025,2,JetBlue Airways,2626,57,0,573,51360,13233,1286,11314,77,25450
2025,2,Republic Airline,1458,62,1,268,19228,4695,1352,6807,0,6374
2025,2,SkyWest Airlines,112,1,1,23,1257,625,276,356,0,0
2025,3,Alaska Airlines,319,0,2,101,5908,1536,203,3270,0,899
2025,3,American Airlines,1210,6,13,275,24890,8706,858,7104,57,8165
2025,3,Delta Air Lines,2476,16,13,541,45883,15680,3155,16042,0,11006
2025,3,Endeavor Air,1622,28,4,270,25055,6027,1587,10287,0,7154
2025,3,Frontier Airlines,191,2,0,54,3684,1356,73,833,0,1422
2025,3,Hawaiian Airlines,31,0,0,9,758,505,107,24,0,122
2025,3,JetBlue Airways,3025,28,8,634,57492,16663,973,16313,0,23543
2025,3,Republic Airline,1332,16,3,228,16584,4120,1100,7775,0,3589
2025,3,SkyWest Airlines,149,0,0,36,3265,1917,468,880,0,0
2025,4,Alaska Airlines,338,1,1,70,3047,906,22,1751,0,368
2025,4,American Airlines,1137,8,3,233,18334,4271,435,3334,0,10294
2025,4,Delta Air Lines,2474,10,6,410,30971,17755,1081,4652,40,7443
2025,4,Endeavor Air,1642,14,1,277,22735,6152,1486,4829,155,10113
2025,4,Frontier Airlines,231,0,0,63,4987,1488,442,1118,0,1939
2025,4,Hawaiian Airlines,30,0,0,17,616,425,0,56,24,111
2025,4,JetBlue Airways,2985,13,4,518,33327,8938,603,9530,7,14249
2025,4,Republic Airline,1280,3,2,213,13248,4632,659,5148,19,2790
2025,4,SkyWest Airlines,152,2,0,35,1843,1156,132,555,0,0
2025,5,Alaska Airlines,341,2,1,141,7027,947,506,4915,0,659
2025,5,American Airlines,1224,6,5,364,31517,9133,1427,11866,206,8885
2025,5,Delta Air Lines,2657,5,11,629,47372,16382,2920,17421,72,10577
2025,5,Endeavor Air,1900,78,2,475,43600,9448,2037,15439,0,16676
2025,5,Frontier Airlines,278,0,0,84,6631,3304,267,1246,0,1814
2025,5,Hawaiian Airlines,31,0,0,12,516,472,26,0,0,18
2025,5,JetBlue Airways,3184,16,5,808,64684,13242,1341,26012,43,24046
2025,5,Republic Airline,1271,17,0,340,25180,4192,482,13007,74,7425
2025,5,SkyWest Airlines,30,0,1,12,670,229,66,375,0,0
2025,6,Alaska Airlines,330,7,0,142,9726,1311,707,5910,0,1798
2025,6,American Airlines,1191,25,2,388,34653,7389,1348,12759,0,13157
2025,6,Delta Air Lines,2599,37,16,755,68059,21551,3287,25826,27,17368
2025,6,Endeavor Air,1861,167,1,489,51729,10038,2790,22372,0,16529
2025,6,Frontier Airlines,298,9,1,86,6693,2719,297,1467,0,2210
2025,6,Hawaiian Airlines,30,0,0,3,215,205,0,10,0,0
2025,6,JetBlue Airways,3130,41,17,951,83543,21434,1939,28904,19,31247
2025,6,Republic Airline,1263,88,2,353,27502,5103,1470,12830,0,8099
2025,7,Alaska Airlines,341,15,5,157,9707,1284,513,6331,6,1573
2025,7,American Airlines,1234,56,16,403,43053,10163,1483,17803,25,13579
2025,7,Delta Air Lines,2671,98,33,753,66556,21128,2566,25933,54,16875
2025,7,Endeavor Air,1925,268,2,442,49167,10998,2208,21214,0,14747
2025,7,Frontier Airlines,309,6,1,103,5999,2246,28,1524,0,2201
2025,7,Hawaiian Airlines,31,0,0,7,149,110,11,0,0,28
2025,7,JetBlue Airways,3362,289,28,1048,117111,36642,1496,38731,81,40161
2025,7,Republic Airline,1309,142,5,315,27101,4858,2113,13283,0,6847
2025,8,Alaska Airlines,329,3,2,110,5675,1127,501,2968,13,1066
2025,8,American Airlines,1134,10,5,276,25738,7574,1353,6392,31,10388
2025,8,Delta Air Lines,2654,24,7,446,43593,17113,1831,13388,0,11261
2025,8,Endeavor Air,1920,28,0,271,29372,7596,2342,10792,0,8642
2025,8,Frontier Airlines,309,1,0,74,4681,1170,106,1672,0,1733
2025,8,Hawaiian Airlines,31,0,0,6,267,181,0,0,2,84
2025,8,JetBlue Airways,3293,32,7,734,63133,21163,1509,15056,73,25332
2025,8,Republic Airline,1362,22,0,238,15477,2998,686,8292,63,3438
2025,9,Alaska Airlines,300,4,4,88,3175,553,86,2035,16,485
2025,9,American Airlines,1129,7,7,196,16008,5351,1312,2875,71,6399
2025,9,Delta Air Lines,2560,5,15,295,21273,8196,863,5326,0,6888
2025,9,Endeavor Air,1816,23,1,223,22659,8819,565,6893,0,6382
2025,9,Frontier Airlines,290,0,0,41,2531,1012,14,238,0,1267
2025,9,Hawaiian Airlines,30,0,0,7,212,143,0,0,21,48
2025,9,JetBlue Airways,2845,24,8,422,33693,12429,756,6615,182,13711
2025,9,Republic Airline,1414,20,2,214,17777,3057,1817,6910,14,5979
2025,10,Alaska Airlines,339,5,4,80,3998,1100,559,2103,0,236
2025,10,American Airlines,1239,14,6,283,26813,9623,691,7751,45,8703
2025,10,Delta Air Lines,2641,35,12,432,39492,12577,1443,15764,88,9620
2025,10,Endeavor Air,1857,36,2,324,31431,6733,1767,13703,0,9228
2025,10,Frontier Airlines,301,0,2,45,3832,919,9,578,0,2326
2025,10,Hawaiian Airlines,31,0,0,6,292,215,0,0,16,61
2025,10,JetBlue Airways,2976,45,11,591,48536,13554,429,17424,16,17113
2025,10,Republic Airline,1362,30,2,227,18927,2763,902,8571,45,6646
2025,11,Alaska Airlines,332,7,10,55,3039,739,118,1401,135,646
2025,11,American Airlines,1237,20,4,282,21416,6531,263,4402,0,10220
2025,11,Delta Air Lines,2547,23,7,433,33043,13503,583,9194,0,9763
2025,11,Endeavor Air,1739,57,1,334,33169,8832,1984,8983,0,13370
2025,11,Frontier Airlines,298,5,0,53,4802,2734,116,527,0,1425
2025,11,Hawaiian Airlines,30,0,0,5,273,130,0,0,0,143
2025,11,JetBlue Airways,2905,129,3,607,47018,14952,289,11030,92,20655
2025,11,Republic Airline,1271,60,4,228,14221,3385,496,4637,0,5703
2025,12,Alaska Airlines,367,7,3,80,5191,1393,24,2353,119,1302
2025,12,American Airlines,1246,22,1,346,31029,10077,923,5759,20,14250
2025,12,Delta Air Lines,2637,131,14,588,50965,20021,3668,12444,0,14832
2025,12,Endeavor Air,1541,82,1,533,51582,12799,2905,12948,0,22930
2025,12,Frontier Airlines,307,12,0,80,5844,1968,100,1153,0,2623
2025,12,Hawaiian Airlines,31,0,0,11,655,338,34,0,0,283
2025,12,JetBlue Airways,2965,131,2,920,77913,26787,853,15723,765,33785
2025,12,Republic Airline,1299,46,2,358,26239,6224,2573,8599,140,8703
